fecha,abrir,max,min,cerrar,cierre_ajustado,volumen
8 may 2025,00171,00171,00171,00171,00171,-
1 may 2025,00171,00172,00171,00171,00171,-
1 abr 2025,00161,00172,00159,00171,00171,-
1 mar 2025,00161,00164,00159,00162,00162,-
1 feb 2025,00164,00165,00161,00161,00161,-
1 ene 2025,00166,00166,00163,00163,00163,-
1 dic 2024,00168,00169,00165,00166,00166,-
1 nov 2024,00168,00169,00166,00167,00167,-
1 oct 2024,00167,00169,00166,00166,00166,-
1 sept 2024,00170,00170,00167,00167,00167,-
1 ago 2024,00171,00172,00168,00168,00168,-
1 jul 2024,00172,00348,00169,00172,00172,-
1 jun 2024,00171,00172,00168,00171,00171,-
